Siddur%2C_Sefard.1	Seder Hashkamat HaBoker	סדר השכמת הבוקר	
Siddur%2C_Sefard.2	Shakharit for Weekdays	שחרית לחול	
Siddur%2C_Sefard.3	Tosafot for Shakharit	תוספות אחרי שחרית	
Siddur%2C_Sefard.4	Minkhah for Weekdays	מנחה לחול	
Siddur%2C_Sefard.5	Maariv for Weekdays	ערבית לחול	
Siddur%2C_Sefard.6	Kiddush Levana	קידוש לבנה	 
Siddur%2C_Sefard.7	Keriat Shema Sheal HaMittah	קריאת שמע שעל המיטה	
Siddur%2C_Sefard.8	Songs for Lag BaOmer	"שירים לל""ג בעומר"	
Siddur%2C_Sefard.9	Blessings and Prayers	ברכות ותפילות שונות	
Siddur%2C_Sefard.10	Seder Seuda	סדר סעודה וברכותיה	
Siddur%2C_Sefard.11	Birkat HaMazon	סדר ברכת המזון	
Siddur%2C_Sefard.12	Berakha Akharona	ברכה אחרונה	
Siddur%2C_Sefard.13	Eruv Tavshilin/Khatzerot/Tekhumin	סדר ערוב תבשילין/חצרות/תחומין	
Siddur%2C_Sefard.14	Candlelighting for Shabbat	סדר הדלקת נרות שבת	
Siddur%2C_Sefard.15	Song of Songs	שיר השירים	
Siddur%2C_Sefard.16	Kabbalat Shabbat	קבלת שבת	
Siddur%2C_Sefard.17	Maariv for Shabbat	תפילת ערבית של שבת	
Siddur%2C_Sefard.18	Leil Shabbat	סדר ליל שבת	
Siddur%2C_Sefard.19	Shakharit for Shabbat	שחרית של שבת	
Siddur%2C_Sefard.20	Mussaf for Shabbat	מוסף של שבת	
Siddur%2C_Sefard.21	Tikunei Shabbat	סדר תיקוני שבת	
Siddur%2C_Sefard.22	Minkhah for Shabbat 	מנחה לשבת	
Siddur%2C_Sefard.23	Zemirot for Seuda Shlishit	זמירות לסעודה שלישית	
Siddur%2C_Sefard.24	Havdalah	סדר הבדלה	
Siddur%2C_Sefard.25	Netilat Lulav	סדר נטילת לולב	
Siddur%2C_Sefard.26	Hallel	סדר הלל	
Siddur%2C_Sefard.27	Shalosh Regalim	סדר שלוש רגלים	
Siddur%2C_Sefard.28	Khodesh Nissan	סדר חודש ניסן	
Siddur%2C_Sefard.29	Haggadah	הגדה של פסח	
Siddur%2C_Sefard.30	Hoshaanot	סדר הושענות	
Siddur%2C_Sefard.31	Hakafot for Simkhat Torah	הקפות לשמחת תורה	
Siddur%2C_Sefard.32	Akadamot for Shavuot	פיוט אקדמות לשבועות	
Siddur%2C_Sefard.33	Yotzrot	יוצרות	
Siddur%2C_Sefard.34	Khannukah	חנוכה	
Siddur%2C_Sefard.35	Purim	פורים	
Siddur%2C_Sefard.36	Fasting and Mourning	תעניות ואבלות	
Siddur%2C_Sefard.37	Readings	סדר הקריאות	
Siddur%2C_Sefard.38	Birkat Kohanim	סדר ברכת כהנים	
Siddur%2C_Sefard.39	Prayers and Segulot	תפילות וסגולות שונות	
